journey_id,card_no,in_code,out_code,in_time,out_time,fare
38,6273844252021091,852,190,2026-03-01 05:02:00,2026-03-01 05:06:00,196
39,6273849772950062,947,486,2026-03-01 05:02:00,2026-03-01 05:11:00,140
40,6273849783397722,190,745,2026-03-01 05:02:00,2026-03-01 05:12:00,156
41,6273844258622721,595,140,2026-03-01 05:02:00,2026-03-01 05:34:00,156
42,6273844744302126,473,849,2026-03-01 05:03:00,2026-03-01 05:38:00,116
43,6273841447029420,673,947,2026-03-01 05:03:00,2026-03-01 05:21:00,92
44,6273841776685179,536,860,2026-03-01 05:03:00,2026-03-01 05:42:00,108
45,6273845618837364,198,849,2026-03-01 05:03:00,2026-03-01 05:12:00,180
46,6273842636611754,595,745,2026-03-01 05:03:00,2026-03-01 05:36:00,44
47,6273841993731702,595,157,2026-03-01 05:03:00,2026-03-01 05:12:00,148
48,6273846258439690,400,190,2026-03-01 05:03:00,2026-03-01 05:36:00,68
49,6273844276871961,673,852,2026-03-01 05:03:00,2026-03-01 05:07:00,68
50,6273841236324375,237,190,2026-03-01 05:03:00,2026-03-01 05:35:00,36
51,6273843913350287,490,190,2026-03-01 05:03:00,2026-03-01 05:30:00,108
52,6273844409247248,237,745,2026-03-01 05:03:00,2026-03-01 05:25:00,140
53,6273842952415631,180,423,2026-03-01 05:04:00,2026-03-01 05:19:00,84
54,6273845088470317,157,425,2026-03-01 05:04:00,2026-03-01 05:40:00,100
55,6273849755957375,490,157,2026-03-01 05:04:00,2026-03-01 05:22:00,124
56,6273841064716456,473,190,2026-03-01 05:04:00,2026-03-01 05:19:00,92
57,6273844234722048,486,813,2026-03-01 05:04:00,2026-03-01 05:40:00,84
58,6273843024010051,673,561,2026-03-01 05:04:00,2026-03-01 05:26:00,44
59,6273846495653003,180,198,2026-03-01 05:04:00,2026-03-01 05:21:00,36
60,6273849573077890,561,820,2026-03-01 05:04:00,2026-03-01 05:45:00,68
61,6273845872022115,400,561,2026-03-01 05:04:00,2026-03-01 05:39:00,76
62,6273842177694075,473,288,2026-03-01 05:04:00,2026-03-01 05:16:00,68
63,6273848245249507,198,906,2026-03-01 05:04:00,2026-03-01 05:15:00,204
64,6273847112139376,561,425,2026-03-01 05:04:00,2026-03-01 05:08:00,60
65,6273847034712174,425,906,2026-03-01 05:04:00,2026-03-01 05:15:00,148
66,6273849763200060,198,180,2026-03-01 05:04:00,2026-03-01 05:49:00,36
67,6273846986338105,237,536,2026-03-01 05:04:00,2026-03-01 05:46:00,100
68,6273844813580760,473,190,2026-03-01 05:04:00,2026-03-01 05:22:00,92
69,6273848245990511,395,852,2026-03-01 05:04:00,2026-03-01 05:49:00,156
70,6273843135150938,536,561,2026-03-01 05:04:00,2026-03-01 05:15:00,28
71,6273842350293570,423,906,2026-03-01 05:04:00,2026-03-01 05:21:00,156
72,6273842558699041,998,198,2026-03-01 05:05:00,2026-03-01 05:31:00,220
73,6273845626925157,198,237,2026-03-01 05:05:00,2026-03-01 05:43:00,28
74,6273847629727936,288,860,2026-03-01 05:05:00,2026-03-01 05:36:00,180
75,6273846868907157,860,395,2026-03-01 05:05:00,2026-03-01 05:20:00,164
76,6273841212825930,947,198,2026-03-01 05:05:00,2026-03-01 05:18:00,212
77,6273845172354290,860,906,2026-03-01 05:05:00,2026-03-01 05:31:00,28
78,6273845584849962,998,860,2026-03-01 05:05:00,2026-03-01 05:29:00,44
79,6273848404391411,425,486,2026-03-01 05:05:00,2026-03-01 05:24:00,36
80,6273847392584384,561,140,2026-03-01 05:05:00,2026-03-01 05:31:00,148
81,6273844841479731,849,830,2026-03-01 05:05:00,2026-03-01 05:35:00,28
82,6273841257967681,536,395,2026-03-01 05:05:00,2026-03-01 05:17:00,76
83,6273849573348226,395,673,2026-03-01 05:05:00,2026-03-01 05:31:00,108
84,6273848492240308,813,490,2026-03-01 05:05:00,2026-03-01 05:10:00,76
85,6273843018321385,906,425,2026-03-01 05:05:00,2026-03-01 05:46:00,148
86,6273843946686307,998,423,2026-03-01 05:05:00,2026-03-01 05:38:00,172
87,6273849898334003,490,395,2026-03-01 05:05:00,2026-03-01 05:24:00,68
88,6273848457003258,423,486,2026-03-01 05:05:00,2026-03-01 05:11:00,44
89,6273845648228543,595,190,2026-03-01 05:05:00,2026-03-01 05:41:00,132
90,6273848520478332,673,395,2026-03-01 05:05:00,2026-03-01 05:31:00,108
91,6273846506180361,595,400,2026-03-01 05:05:00,2026-03-01 05:13:00,84
92,6273845749509559,180,320,2026-03-01 05:05:00,2026-03-01 05:10:00,60
93,6273842020900728,820,947,2026-03-01 05:06:00,2026-03-01 05:42:00,68
94,6273845473666815,947,425,2026-03-01 05:06:00,2026-03-01 05:46:00,156
95,6273846327333765,813,561,2026-03-01 05:06:00,2026-03-01 05:10:00,60
96,6273846188069002,561,536,2026-03-01 05:06:00,2026-03-01 05:14:00,28
97,6273842625476788,288,947,2026-03-01 05:06:00,2026-03-01 05:11:00,196
98,6273845153880775,745,906,2026-03-01 05:06:00,2026-03-01 05:20:00,76
99,6273843305255962,198,745,2026-03-01 05:06:00,2026-03-01 05:20:00,148
100,6273842339940189,237,597,2026-03-01 05:06:00,2026-03-01 05:10:00,124
101,6273844329885779,947,395,2026-03-01 05:06:00,2026-03-01 05:27:00,180
102,6273841977473611,561,288,2026-03-01 05:06:00,2026-03-01 05:21:00,100
103,6273847489906072,157,536,2026-03-01 05:06:00,2026-03-01 05:50:00,132
104,6273847346246509,906,425,2026-03-01 05:06:00,2026-03-01 05:17:00,148
105,6273844574977975,490,906,2026-03-01 05:06:00,2026-03-01 05:40:00,124
106,6273846466241718,320,180,2026-03-01 05:06:00,2026-03-01 05:37:00,60
107,6273849609677698,140,597,2026-03-01 05:07:00,2026-03-01 05:36:00,164
108,6273841120838066,906,595,2026-03-01 05:07:00,2026-03-01 05:46:00,100
109,6273843009898380,595,423,2026-03-01 05:07:00,2026-03-01 05:16:00,76
110,6273845340140435,595,395,2026-03-01 05:07:00,2026-03-01 05:17:00,92
111,6273843529760089,473,395,2026-03-01 05:07:00,2026-03-01 05:13:00,52
112,6273844818890357,830,595,2026-03-01 05:07:00,2026-03-01 05:51:00,68
113,6273841616067043,536,198,2026-03-01 05:07:00,2026-03-01 05:35:00,108
114,6273848995935884,180,198,2026-03-01 05:07:00,2026-03-01 05:20:00,36
115,6273844127567284,490,180,2026-03-01 05:07:00,2026-03-01 05:37:00,116
116,6273848456468710,852,157,2026-03-01 05:07:00,2026-03-01 05:14:00,212
117,6273844591853120,140,673,2026-03-01 05:07:00,2026-03-01 05:38:00,172
118,6273844120039617,486,597,2026-03-01 05:07:00,2026-03-01 05:33:00,60
119,6273844430076135,140,830,2026-03-01 05:07:00,2026-03-01 05:27:00,204
120,6273848976053556,673,157,2026-03-01 05:07:00,2026-03-01 05:41:00,164
121,6273844439979001,595,140,2026-03-01 05:07:00,2026-03-01 05:27:00,156
122,6273843494696084,157,745,2026-03-01 05:07:00,2026-03-01 05:21:00,172
123,6273848227041236,157,745,2026-03-01 05:07:00,2026-03-01 05:39:00,172
124,6273842842926689,490,673,2026-03-01 05:07:00,2026-03-01 05:25:00,60
125,6273845613689547,190,400,2026-03-01 05:07:00,2026-03-01 05:27:00,68
126,6273841959041092,852,813,2026-03-01 05:07:00,2026-03-01 05:51:00,52
127,6273845370016828,820,423,2026-03-01 05:07:00,2026-03-01 05:11:00,116
128,6273847725090838,860,490,2026-03-01 05:07:00,2026-03-01 05:22:00,116
129,6273844860290715,157,198,2026-03-01 05:07:00,2026-03-01 05:45:00,44
130,6273841933651248,906,157,2026-03-01 05:07:00,2026-03-01 05:52:00,228
131,6273843447185725,140,157,2026-03-01 05:07:00,2026-03-01 05:45:00,28
132,6273849042667364,425,140,2026-03-01 05:07:00,2026-03-01 05:37:00,108
133,6273843481507202,425,395,2026-03-01 05:07:00,2026-03-01 05:48:00,44
134,6273847611403802,595,906,2026-03-01 05:08:00,2026-03-01 05:34:00,100
135,6273844509440193,998,486,2026-03-01 05:08:00,2026-03-01 05:48:00,148
136,6273841950037021,140,597,2026-03-01 05:08:00,2026-03-01 05:17:00,164
137,6273845677558892,190,237,2026-03-01 05:08:00,2026-03-01 05:25:00,36
138,6273843485963264,597,673,2026-03-01 05:08:00,2026-03-01 05:12:00,28
139,6273848377954970,198,237,2026-03-01 05:08:00,2026-03-01 05:40:00,28
140,6273843797861198,536,906,2026-03-01 05:08:00,2026-03-01 05:41:00,116
141,6273843372324504,820,813,2026-03-01 05:08:00,2026-03-01 05:40:00,28
142,6273849660379790,190,237,2026-03-01 05:08:00,2026-03-01 05:16:00,36
143,6273844571606864,486,813,2026-03-01 05:08:00,2026-03-01 05:47:00,84
144,6273848332683302,486,140,2026-03-01 05:09:00,2026-03-01 05:54:00,124
145,6273844761407117,820,595,2026-03-01 05:09:00,2026-03-01 05:46:00,60
146,6273844395894130,237,597,2026-03-01 05:09:00,2026-03-01 05:34:00,124
147,6273849426612890,237,860,2026-03-01 05:09:00,2026-03-01 05:50:00,188
148,6273849212515436,180,140,2026-03-01 05:09:00,2026-03-01 05:34:00,36
149,6273847181833215,486,561,2026-03-01 05:09:00,2026-03-01 05:48:00,44
150,6273848095457955,820,998,2026-03-01 05:09:00,2026-03-01 05:32:00,76
151,6273843027003113,157,473,2026-03-01 05:09:00,2026-03-01 05:18:00,108
152,6273846443629687,237,673,2026-03-01 05:09:00,2026-03-01 05:28:00,132
153,6273843624844092,190,852,2026-03-01 05:09:00,2026-03-01 05:35:00,196
154,6273844573210203,140,998,2026-03-01 05:09:00,2026-03-01 05:54:00,252
155,6273842156790320,820,473,2026-03-01 05:09:00,2026-03-01 05:30:00,100
156,6273843852168042,813,486,2026-03-01 05:09:00,2026-03-01 05:41:00,84
157,6273842737238068,400,288,2026-03-01 05:09:00,2026-03-01 05:43:00,44
158,6273846620279841,490,673,2026-03-01 05:09:00,2026-03-01 05:42:00,60
159,6273848069718995,190,998,2026-03-01 05:09:00,2026-03-01 05:20:00,228
160,6273849069742582,852,820,2026-03-01 05:09:00,2026-03-01 05:24:00,44
161,6273848991258274,140,561,2026-03-01 05:09:00,2026-03-01 05:49:00,148
162,6273843663392152,998,849,2026-03-01 05:09:00,2026-03-01 05:32:00,60
163,6273847187963404,423,906,2026-03-01 05:09:00,2026-03-01 05:24:00,156
164,6273846667644265,320,595,2026-03-01 05:10:00,2026-03-01 05:28:00,100
165,6273843203045421,536,425,2026-03-01 05:10:00,2026-03-01 05:45:00,52
166,6273844545216770,561,395,2026-03-01 05:10:00,2026-03-01 05:50:00,84
167,6273841492376023,813,425,2026-03-01 05:10:00,2026-03-01 05:44:00,100
168,6273844405366883,157,198,2026-03-01 05:10:00,2026-03-01 05:20:00,44
169,6273845524291949,536,490,2026-03-01 05:10:00,2026-03-01 05:16:00,28
170,6273847885153879,595,849,2026-03-01 05:10:00,2026-03-01 05:42:00,76
171,6273841970026837,473,830,2026-03-01 05:10:00,2026-03-01 05:29:00,108
172,6273848986948670,906,400,2026-03-01 05:10:00,2026-03-01 05:40:00,164
173,6273846487604387,947,852,2026-03-01 05:10:00,2026-03-01 05:19:00,44
174,6273842794921742,830,425,2026-03-01 05:10:00,2026-03-01 05:18:00,116
175,6273843045778856,830,140,2026-03-01 05:10:00,2026-03-01 05:45:00,204
176,6273847909156555,425,595,2026-03-01 05:10:00,2026-03-01 05:23:00,68
177,6273845728886750,288,490,2026-03-01 05:10:00,2026-03-01 05:26:00,84
178,6273842049375415,320,395,2026-03-01 05:10:00,2026-03-01 05:36:00,28
179,6273849944863359,561,395,2026-03-01 05:10:00,2026-03-01 05:55:00,84
180,6273841740611089,486,395,2026-03-01 05:10:00,2026-03-01 05:29:00,60
181,6273847105647416,395,190,2026-03-01 05:10:00,2026-03-01 05:19:00,60
182,6273843581910787,830,288,2026-03-01 05:10:00,2026-03-01 05:20:00,156
183,6273841704233584,561,830,2026-03-01 05:10:00,2026-03-01 05:20:00,76
184,6273842408179729,998,490,2026-03-01 05:10:00,2026-03-01 05:38:00,140
185,6273846532045117,486,423,2026-03-01 05:10:00,2026-03-01 05:14:00,44
186,6273844164270396,830,536,2026-03-01 05:10:00,2026-03-01 05:50:00,84
187,6273847179312918,830,947,2026-03-01 05:10:00,2026-03-01 05:54:00,60
188,6273843989740699,595,157,2026-03-01 05:10:00,2026-03-01 05:16:00,148
189,6273845182701760,320,400,2026-03-01 05:10:00,2026-03-01 05:43:00,36
190,6273848109904410,395,190,2026-03-01 05:10:00,2026-03-01 05:44:00,60
191,6273842233304104,998,395,2026-03-01 05:10:00,2026-03-01 05:47:00,188
192,6273845920831265,849,140,2026-03-01 05:11:00,2026-03-01 05:15:00,212
193,6273843403595246,947,820,2026-03-01 05:11:00,2026-03-01 05:41:00,68
194,6273844214634954,490,395,2026-03-01 05:11:00,2026-03-01 05:49:00,68
195,6273842308771302,849,490,2026-03-01 05:11:00,2026-03-01 05:30:00,100
196,6273843906166317,849,425,2026-03-01 05:11:00,2026-03-01 05:35:00,124
197,6273846637112364,237,860,2026-03-01 05:11:00,2026-03-01 05:19:00,188
198,6273844181986216,860,830,2026-03-01 05:11:00,2026-03-01 05:21:00,44
199,6273848556005876,473,595,2026-03-01 05:11:00,2026-03-01 05:34:00,60
200,6273841592749016,400,473,2026-03-01 05:11:00,2026-03-01 05:35:00,44
201,6273842325556502,820,320,2026-03-01 05:11:00,2026-03-01 05:46:00,140
202,6273845771733320,830,473,2026-03-01 05:11:00,2026-03-01 05:52:00,108
203,6273841257609151,813,400,2026-03-01 05:11:00,2026-03-01 05:15:00,116
204,6273842294425618,486,190,2026-03-01 05:11:00,2026-03-01 05:30:00,100
205,6273846385053934,400,561,2026-03-01 05:11:00,2026-03-01 05:28:00,76
206,6273844528420442,673,860,2026-03-01 05:11:00,2026-03-01 05:30:00,76
207,6273846197861921,745,400,2026-03-01 05:11:00,2026-03-01 05:25:00,108
208,6273843901281326,820,473,2026-03-01 05:11:00,2026-03-01 05:29:00,100
209,6273848983095791,595,157,2026-03-01 05:11:00,2026-03-01 05:48:00,148
210,6273848088771946,190,490,2026-03-01 05:11:00,2026-03-01 05:38:00,108
211,6273844843300574,320,288,2026-03-01 05:11:00,2026-03-01 05:16:00,28
212,6273842133751471,830,852,2026-03-01 05:11:00,2026-03-01 05:49:00,36
213,6273848712725966,536,237,2026-03-01 05:11:00,2026-03-01 05:40:00,100
214,6273844938881163,400,423,2026-03-01 05:12:00,2026-03-01 05:30:00,28
215,6273845350717405,820,745,2026-03-01 05:12:00,2026-03-01 05:46:00,36
216,6273846876175261,561,198,2026-03-01 05:12:00,2026-03-01 05:30:00,116
217,6273847386381724,860,813,2026-03-01 05:12:00,2026-03-01 05:43:00,60
218,6273842296376982,673,947,2026-03-01 05:12:00,2026-03-01 05:40:00,92
219,6273843945497539,561,395,2026-03-01 05:12:00,2026-03-01 05:37:00,84
220,6273847240991678,140,947,2026-03-01 05:12:00,2026-03-01 05:16:00,244
221,6273842058548063,198,597,2026-03-01 05:12:00,2026-03-01 05:16:00,132
222,6273847012423049,813,536,2026-03-01 05:12:00,2026-03-01 05:56:00,68
223,6273842437617167,423,395,2026-03-01 05:12:00,2026-03-01 05:40:00,36
224,6273841037469357,157,813,2026-03-01 05:12:00,2026-03-01 05:39:00,180
225,6273847646561381,849,490,2026-03-01 05:12:00,2026-03-01 05:45:00,100
226,6273846346705232,320,820,2026-03-01 05:12:00,2026-03-01 05:47:00,140
227,6273845820883960,813,830,2026-03-01 05:12:00,2026-03-01 05:43:00,36
228,6273841761006743,595,190,2026-03-01 05:12:00,2026-03-01 05:46:00,132
229,6273847154295298,425,190,2026-03-01 05:12:00,2026-03-01 05:28:00,84
230,6273848606922771,561,813,2026-03-01 05:12:00,2026-03-01 05:37:00,60
231,6273846662682608,140,425,2026-03-01 05:12:00,2026-03-01 05:43:00,108
232,6273843295078304,998,561,2026-03-01 05:12:00,2026-03-01 05:34:00,124
233,6273841427371681,423,745,2026-03-01 05:12:00,2026-03-01 05:32:00,100
234,6273843872521992,813,597,2026-03-01 05:12:00,2026-03-01 05:42:00,44
235,6273843790765884,288,595,2026-03-01 05:12:00,2026-03-01 05:41:00,108
236,6273841192643757,425,745,2026-03-01 05:12:00,2026-03-01 05:31:00,92
237,6273842981471176,906,849,2026-03-01 05:13:00,2026-03-01 05:42:00,44
238,6273841328824434,400,947,2026-03-01 05:13:00,2026-03-01 05:50:00,172
239,6273847749039839,849,320,2026-03-01 05:13:00,2026-03-01 05:57:00,156
240,6273844025132337,830,395,2026-03-01 05:13:00,2026-03-01 05:21:00,140
241,6273846507001428,595,237,2026-03-01 05:13:00,2026-03-01 05:43:00,116
242,6273849630796766,595,395,2026-03-01 05:13:00,2026-03-01 05:51:00,92
243,6273841838276481,597,423,2026-03-01 05:13:00,2026-03-01 05:38:00,84
244,6273849639462556,998,849,2026-03-01 05:13:00,2026-03-01 05:51:00,60
245,6273849479398888,288,425,2026-03-01 05:13:00,2026-03-01 05:50:00,60
246,6273843667749938,490,140,2026-03-01 05:13:00,2026-03-01 05:47:00,132
247,6273847453483253,597,157,2026-03-01 05:13:00,2026-03-01 05:18:00,156
248,6273848080359728,830,490,2026-03-01 05:13:00,2026-03-01 05:50:00,92
249,6273842169288074,473,852,2026-03-01 05:14:00,2026-03-01 05:27:00,124
250,6273841083194950,180,400,2026-03-01 05:14:00,2026-03-01 05:40:00,76
251,6273849160460001,473,849,2026-03-01 05:14:00,2026-03-01 05:48:00,116
252,6273848604610978,597,473,2026-03-01 05:14:00,2026-03-01 05:52:00,68
253,6273849381739384,400,561,2026-03-01 05:14:00,2026-03-01 05:40:00,76
254,6273846923759180,423,400,2026-03-01 05:14:00,2026-03-01 05:27:00,28
255,6273849286050866,947,288,2026-03-01 05:14:00,2026-03-01 05:35:00,196
256,6273846869166472,237,597,2026-03-01 05:14:00,2026-03-01 05:24:00,124
257,6273843696079882,830,157,2026-03-01 05:14:00,2026-03-01 05:30:00,196
258,6273847596520943,400,180,2026-03-01 05:14:00,2026-03-01 05:57:00,76
259,6273848056218959,180,237,2026-03-01 05:14:00,2026-03-01 05:22:00,44
260,6273842009453480,140,830,2026-03-01 05:14:00,2026-03-01 05:51:00,204
261,6273846289628417,906,820,2026-03-01 05:14:00,2026-03-01 05:28:00,60
262,6273848102548313,820,198,2026-03-01 05:14:00,2026-03-01 05:28:00,164
263,6273844975505865,288,400,2026-03-01 05:14:00,2026-03-01 05:37:00,44
264,6273844731918442,486,400,2026-03-01 05:14:00,2026-03-01 05:25:00,52
265,6273849115245251,237,852,2026-03-01 05:14:00,2026-03-01 05:52:00,180
266,6273849827639431,820,745,2026-03-01 05:14:00,2026-03-01 05:37:00,36
267,6273845957598231,198,820,2026-03-01 05:14:00,2026-03-01 05:44:00,164
268,6273849534133350,561,473,2026-03-01 05:15:00,2026-03-01 05:30:00,52
269,6273844713579599,473,288,2026-03-01 05:15:00,2026-03-01 05:48:00,68
270,6273845372701670,486,395,2026-03-01 05:15:00,2026-03-01 05:36:00,60
271,6273841852298617,998,947,2026-03-01 05:15:00,2026-03-01 05:55:00,28
272,6273847309062879,830,180,2026-03-01 05:15:00,2026-03-01 05:50:00,188
273,6273846444367630,745,820,2026-03-01 05:15:00,2026-03-01 05:55:00,36
274,6273841279601557,395,906,2026-03-01 05:15:00,2026-03-01 05:54:00,172
275,6273846673795720,400,423,2026-03-01 05:15:00,2026-03-01 05:22:00,28
276,6273845849328658,745,906,2026-03-01 05:15:00,2026-03-01 05:31:00,76
277,6273846911887064,998,288,2026-03-01 05:15:00,2026-03-01 05:47:00,204
278,6273843433340095,473,536,2026-03-01 05:15:00,2026-03-01 05:30:00,44
279,6273843631293291,813,561,2026-03-01 05:15:00,2026-03-01 05:36:00,60
280,6273846238704941,423,180,2026-03-01 05:15:00,2026-03-01 05:47:00,84
281,6273846422243903,673,157,2026-03-01 05:15:00,2026-03-01 05:45:00,164
282,6273848041349073,906,998,2026-03-01 05:16:00,2026-03-01 05:40:00,36
283,6273848500686105,140,237,2026-03-01 05:16:00,2026-03-01 06:00:00,60
284,6273846425274340,820,830,2026-03-01 05:16:00,2026-03-01 05:52:00,28
285,6273849519824452,157,490,2026-03-01 05:16:00,2026-03-01 05:26:00,124
286,6273845968363773,595,157,2026-03-01 05:16:00,2026-03-01 05:45:00,148
287,6273844766164733,849,998,2026-03-01 05:16:00,2026-03-01 05:33:00,60
288,6273848979916311,820,473,2026-03-01 05:16:00,2026-03-01 05:52:00,100
289,6273844524197140,237,595,2026-03-01 05:16:00,2026-03-01 05:32:00,116
290,6273842188365420,190,198,2026-03-01 05:16:00,2026-03-01 05:32:00,28
291,6273849513643009,140,745,2026-03-01 05:16:00,2026-03-01 05:42:00,180
292,6273849717139390,395,947,2026-03-01 05:16:00,2026-03-01 05:42:00,180
293,6273844105180496,198,473,2026-03-01 05:16:00,2026-03-01 05:45:00,84
294,6273849226992186,400,860,2026-03-01 05:16:00,2026-03-01 05:25:00,156
295,6273841155666519,745,490,2026-03-01 05:16:00,2026-03-01 06:01:00,68
296,6273843489918194,400,490,2026-03-01 05:16:00,2026-03-01 05:26:00,60
297,6273849477107309,595,190,2026-03-01 05:16:00,2026-03-01 05:37:00,132
298,6273849588175709,745,820,2026-03-01 05:17:00,2026-03-01 05:29:00,36
299,6273844731274339,400,157,2026-03-01 05:17:00,2026-03-01 05:21:00,84
300,6273848269007413,288,830,2026-03-01 05:17:00,2026-03-01 05:27:00,156
301,6273842082318877,180,860,2026-03-01 05:17:00,2026-03-01 05:35:00,212
302,6273845633210042,673,425,2026-03-01 05:17:00,2026-03-01 05:49:00,84
303,6273841414045467,830,190,2026-03-01 05:17:00,2026-03-01 05:34:00,180
304,6273842893578827,820,595,2026-03-01 05:17:00,2026-03-01 05:33:00,60
305,6273846243392596,490,820,2026-03-01 05:17:00,2026-03-01 05:58:00,84
306,6273843686130957,320,400,2026-03-01 05:17:00,2026-03-01 05:27:00,36
307,6273847465635577,820,830,2026-03-01 05:18:00,2026-03-01 05:58:00,28
308,6273844957959613,320,998,2026-03-01 05:18:00,2026-03-01 05:50:00,196
309,6273849599239954,536,320,2026-03-01 05:18:00,2026-03-01 05:50:00,84
310,6273846164370693,490,673,2026-03-01 05:18:00,2026-03-01 06:03:00,60
311,6273848964927425,998,830,2026-03-01 05:18:00,2026-03-01 05:37:00,68
312,6273846995971716,813,486,2026-03-01 05:18:00,2026-03-01 05:40:00,84
313,6273841575286754,473,288,2026-03-01 05:18:00,2026-03-01 05:38:00,68
314,6273842427311212,486,190,2026-03-01 05:18:00,2026-03-01 05:34:00,100
315,6273849242292673,198,425,2026-03-01 05:18:00,2026-03-01 05:44:00,76
316,6273846536204862,947,486,2026-03-01 05:18:00,2026-03-01 05:49:00,140
317,6273844953418604,813,745,2026-03-01 05:18:00,2026-03-01 05:58:00,28
318,6273841564208230,425,198,2026-03-01 05:18:00,2026-03-01 05:53:00,76
319,6273849672536965,595,423,2026-03-01 05:18:00,2026-03-01 05:49:00,76
320,6273843056391292,140,595,2026-03-01 05:19:00,2026-03-01 05:23:00,156
321,6273849885264622,423,140,2026-03-01 05:19:00,2026-03-01 05:54:00,100
322,6273846547533044,849,860,2026-03-01 05:19:00,2026-03-01 05:49:00,36
323,6273842919274472,423,157,2026-03-01 05:19:00,2026-03-01 05:34:00,92
324,6273849522310856,473,813,2026-03-01 05:19:00,2026-03-01 05:54:00,92
325,6273846968877829,595,320,2026-03-01 05:19:00,2026-03-01 05:44:00,100
326,6273843125041030,745,813,2026-03-01 05:19:00,2026-03-01 05:49:00,28
327,6273846838152943,423,486,2026-03-01 05:19:00,2026-03-01 06:00:00,44
328,6273844112598047,425,830,2026-03-01 05:19:00,2026-03-01 05:59:00,116
329,6273849237444529,597,490,2026-03-01 05:19:00,2026-03-01 05:31:00,52
330,6273844659492974,813,288,2026-03-01 05:19:00,2026-03-01 05:40:00,140
331,6273841884888772,473,395,2026-03-01 05:19:00,2026-03-01 05:26:00,52
332,6273848933060607,288,830,2026-03-01 05:19:00,2026-03-01 05:40:00,156
333,6273844267969782,745,157,2026-03-01 05:20:00,2026-03-01 05:48:00,172
334,6273844813527966,288,486,2026-03-01 05:20:00,2026-03-01 05:52:00,76
335,6273845806062453,745,830,2026-03-01 05:20:00,2026-03-01 05:52:00,44
336,6273846275019248,820,849,2026-03-01 05:20:00,2026-03-01 05:55:00,36
337,6273848657275433,820,597,2026-03-01 05:20:00,2026-03-01 05:46:00,52
338,6273848375062733,998,180,2026-03-01 05:20:00,2026-03-01 05:56:00,236
339,6273845222200321,190,820,2026-03-01 05:20:00,2026-03-01 05:24:00,172
340,6273846703012598,860,947,2026-03-01 05:20:00,2026-03-01 06:00:00,36
