card_no,holder,cnic,balance,status
6273841013097865,Kashif Sheikh,55577-4330991-2,777,BLOCKED
6273843743738946,Maryam Zafar,14487-7035538-8,1315,ACTIVE
6273841122466614,Mehwish Khan,61055-5043269-6,4107,ACTIVE
6273841571994782,Zainab Hussain,39577-1046450-6,2088,ACTIVE
6273846626010087,Bilal Chaudhry,83414-9194268-5,1620,ACTIVE
6273842047517481,Ayesha Siddiqui,90728-3715423-1,2240,ACTIVE
6273849922569566,Nimra Aslam,84607-1759480-4,3887,ACTIVE
6273844467297042,Maryam Javed,41703-8579333-2,4868,ACTIVE
6273844655822398,Tariq Nawaz,65185-1589880-5,4728,ACTIVE
6273849886317624,Hassan Bashir,93686-6472306-2,3718,ACTIVE
6273843770401414,Owais Iqbal,83213-6660788-2,94,ACTIVE
6273849753811036,Imran Ahmed,66788-3971262-7,4068,ACTIVE
6273849806616546,Adnan Malik,98482-7219455-6,844,ACTIVE
6273849790294220,Zainab Zafar,43988-3989214-1,4602,ACTIVE
6273848297886704,Mehwish Iqbal,14107-6652026-9,2541,ACTIVE
6273845033121063,Maryam Bashir,24641-2807879-6,4066,ACTIVE
6273842185289384,Hira Butt,22093-4632736-6,1865,ACTIVE
6273847683677121,Sadia Siddiqui,13579-4358275-8,1168,ACTIVE
6273842608016935,Shahid Hussain,97223-9985111-7,2741,ACTIVE
6273842885228953,Amna Siddiqui,36342-3721810-4,805,ACTIVE
6273847339343124,Hassan Javed,65844-7794253-8,2496,ACTIVE
6273842805512977,Adnan Aslam,82967-6021580-5,287,ACTIVE
6273849930418025,Ahmed Sultan,75302-1785568-4,1094,ACTIVE
6273841279240043,Hira Farooq,97352-8433177-6,4765,ACTIVE
6273842327859777,Mehwish Farooq,68964-8540918-5,1520,ACTIVE
6273847190264584,Hina Iqbal,15038-8233125-8,579,ACTIVE
6273845873432522,Iqra Farooq,75662-8303727-1,1099,ACTIVE
6273842828141331,Imran Siddiqui,52929-4961407-5,1731,ACTIVE
6273846155478320,Farhan Sultan,78127-4646328-3,1353,ACTIVE
6273841315095890,Usman Ahmed,99109-9949310-1,3488,ACTIVE
6273841622361745,Iqra Mirza,21449-2216639-8,2814,ACTIVE
6273841615468327,Danish Sultan,47384-8199124-2,2092,ACTIVE
6273843341218546,Shahid Zafar,48127-1977494-9,2397,ACTIVE
6273846645182384,Ayesha Bashir,51621-4458980-9,89,ACTIVE
6273842188407653,Sana Siddiqui,67359-5926447-3,3596,ACTIVE
6273843213075389,Noor Javed,48772-7265940-1,4847,ACTIVE
6273844083994410,Amna Rashid,89393-8069730-2,1386,ACTIVE
6273846471947429,Bilal Malik,12749-6283138-6,2644,ACTIVE
6273843685206469,Maryam Khan,63470-3730383-2,4265,ACTIVE
6273844884985708,Farhan Chaudhry,64053-3105842-6,3265,ACTIVE
6273842393667998,Umar Iqbal,87876-1964470-7,74,ACTIVE
6273844669459726,Ayesha Sheikh,74874-9926721-2,4247,ACTIVE
6273845482043785,Shahid Ahmed,95072-3158049-2,299,ACTIVE
6273845230748415,Shahid Zafar,39051-4493378-7,805,ACTIVE
6273845189266646,Nimra Farooq,91093-1117096-4,2671,ACTIVE
6273844341416955,Kashif Qureshi,69523-6168536-8,2283,ACTIVE
6273843512768245,Maryam Zafar,71960-1016942-8,754,ACTIVE
6273848873683892,Adnan Javed,66755-6936841-7,4790,ACTIVE
6273847123879356,Tariq Khan,95585-8054402-9,3678,ACTIVE
6273844323693340,Rabia Mirza,74000-9148754-9,4151,ACTIVE
6273844846670480,Owais Qureshi,28507-5706984-4,2602,ACTIVE
6273844094782887,Imran Sheikh,54038-4820201-6,1960,ACTIVE
6273843751226688,Maryam Javed,62441-8308135-8,3401,ACTIVE
6273842587428679,Mehwish Siddiqui,89791-8601535-8,4021,ACTIVE
6273848672471525,Noor Farooq,20771-7323266-1,3664,ACTIVE
6273844067820992,Ahmed Sheikh,52563-9044368-6,2810,ACTIVE
6273842363543440,Hina Zafar,65105-2939209-5,3371,ACTIVE
6273844877454065,Maryam Butt,88617-5545462-7,4251,ACTIVE
6273847383697891,Asad Iqbal,23170-2738337-4,3467,ACTIVE
6273847860287453,Adnan Malik,95882-1823910-6,644,ACTIVE
6273844367230200,Tariq Hussain,60954-9488656-9,2713,ACTIVE
6273841725573277,Danish Farooq,24114-8640478-8,1221,ACTIVE
6273849544842696,Adnan Nawaz,83057-2655578-1,3626,ACTIVE
6273844459755316,Usman Sheikh,35578-3948350-8,1060,ACTIVE
6273848598721570,Mehwish Khan,15921-2580413-6,1875,ACTIVE
6273844426577760,Adnan Farooq,63364-6313117-7,404,ACTIVE
6273844452906536,Noor Sheikh,52285-7336899-2,3249,ACTIVE
6273842985583146,Usman Bashir,95795-6893361-5,2842,ACTIVE
6273841411764802,Imran Sultan,27060-3034626-5,897,ACTIVE
6273843288631276,Asad Siddiqui,90978-5472151-6,3843,ACTIVE
6273848185470561,Shahid Mirza,18650-4434105-8,1405,ACTIVE
6273841961127464,Fatima Ahmed,52327-2080249-8,1236,ACTIVE
6273842596002013,Tariq Mirza,73010-6788764-1,766,ACTIVE
6273843317857359,Owais Aslam,97419-4615272-3,4948,ACTIVE
6273845239667856,Fatima Zafar,47974-8946756-6,1079,ACTIVE
6273846741964695,Shahid Iqbal,44185-2487342-8,616,ACTIVE
6273843231343410,Umar Aslam,61080-1893095-2,1112,BLOCKED
6273843982174445,Imran Mirza,27866-7965663-9,4669,BLOCKED
6273846008971026,Danish Chaudhry,29349-9315983-5,1897,ACTIVE
6273842987868822,Amna Siddiqui,22389-6628953-6,2242,ACTIVE
6273841119567827,Hira Qureshi,28353-8351857-8,417,ACTIVE
6273841441584481,Amna Chaudhry,69379-9642221-6,957,ACTIVE
6273849356422998,Zainab Mirza,69825-6341688-6,2114,BLOCKED
6273846667897340,Mehwish Sultan,28539-1878134-2,4840,ACTIVE
6273841407657694,Laiba Sheikh,54801-7602498-2,156,ACTIVE
6273846564182574,Fatima Chaudhry,64379-4759564-5,4910,ACTIVE
6273842469234770,Nimra Bashir,62911-4942707-5,1707,ACTIVE
6273841244262137,Hina Aslam,14199-5032998-5,4545,ACTIVE
6273846155701226,Hina Butt,76844-1287650-6,781,ACTIVE
6273841673558209,Umar Javed,97868-7856871-1,2209,ACTIVE
6273842735101692,Noor Mirza,97818-2272573-9,4664,ACTIVE
6273846921974874,Bilal Sultan,37436-2686507-5,3115,ACTIVE
6273849668557291,Owais Sultan,11075-5398910-7,4151,ACTIVE
6273847241804579,Usman Butt,99513-7875878-6,4717,ACTIVE
6273842529715703,Bilal Hussain,28085-6745458-5,2479,BLOCKED
6273845253242258,Hina Nawaz,13145-7091145-3,3639,BLOCKED
6273847232086561,Noor Butt,34541-3810443-6,4364,ACTIVE
6273843824015537,Farhan Javed,56918-4187955-1,433,ACTIVE
6273841490822579,Imran Mirza,63866-3257133-9,4896,ACTIVE
6273849464067571,Amna Aslam,60087-4116659-9,3596,ACTIVE
6273845746073121,Rabia Farooq,25700-5345325-1,1466,ACTIVE
6273844965817869,Maryam Mirza,62826-3558142-1,4449,ACTIVE
6273841105657660,Sadia Sheikh,43384-3561935-2,4043,ACTIVE
6273846663079881,Kashif Butt,95742-7602614-4,737,ACTIVE
6273843879540625,Usman Ahmed,46067-6484415-5,943,ACTIVE
6273847191935028,Sana Ahmed,48573-5496577-6,1788,ACTIVE
6273845816434251,Junaid Hussain,19185-4832621-5,4327,ACTIVE
6273844958311806,Fatima Raza,25511-3422863-1,4015,ACTIVE
6273849677277665,Imran Javed,37963-8405859-7,3953,ACTIVE
6273843964531046,Ayesha Ahmed,26731-9896156-1,3543,ACTIVE
6273847321448177,Kashif Zafar,11470-8687014-1,2760,ACTIVE
6273848647316322,Junaid Chaudhry,48253-9290389-3,2321,ACTIVE
6273841363345603,Hassan Hussain,73342-8038389-9,4489,ACTIVE
6273847553570279,Junaid Farooq,86749-7529049-3,2511,ACTIVE
6273843762522473,Danish Iqbal,16920-1252152-8,4804,ACTIVE
6273843998901886,Laiba Siddiqui,57740-5281703-9,4,ACTIVE
6273842583814262,Shahid Bashir,14121-4124623-8,1360,ACTIVE
6273841495055196,Owais Hussain,82713-4539887-9,3876,ACTIVE
6273845875156420,Kashif Ahmed,36834-7179460-1,4148,ACTIVE
6273846000809349,Maryam Raza,64227-1399801-1,294,ACTIVE
6273849129469813,Tariq Malik,77245-5997979-5,2159,ACTIVE
6273846664850829,Mehwish Chaudhry,72830-4477007-1,3811,ACTIVE
6273844422094074,Laiba Aslam,59754-8468778-6,685,ACTIVE
6273849142974025,Shahid Nawaz,72336-7968040-8,3207,ACTIVE
6273849411128869,Mehwish Sultan,47982-4282688-4,4827,ACTIVE
6273847051765257,Farhan Rashid,37202-2361095-3,4851,ACTIVE
6273842300348989,Hassan Aslam,92900-1494686-8,207,ACTIVE
6273843893759147,Iqra Sheikh,71087-2115005-1,1124,ACTIVE
6273843535590291,Laiba Bashir,31980-7261382-5,3241,ACTIVE
6273846256950814,Umar Sheikh,41978-9907500-3,2426,ACTIVE
6273847582248295,Rabia Nawaz,42931-8015267-2,2968,ACTIVE
6273845039684693,Mehwish Farooq,97834-2843292-6,931,ACTIVE
6273848391805259,Kashif Iqbal,57257-8436300-7,4272,ACTIVE
6273848144413826,Danish Mirza,69958-4092313-2,3410,ACTIVE
6273848315746015,Bilal Mirza,52198-1286815-6,3351,ACTIVE
6273841800166060,Sadia Mirza,14354-6264832-2,1065,ACTIVE
6273842856320226,Sana Farooq,20109-2123548-9,3439,ACTIVE
6273846697183643,Danish Sheikh,73484-1699802-4,2589,ACTIVE
6273841297852894,Ayesha Hussain,79147-3551661-2,3289,ACTIVE
6273846545078519,Sana Sheikh,39161-1710359-3,2683,BLOCKED
6273843076014924,Hina Farooq,45491-8973711-1,1466,ACTIVE
6273842388621087,Mehwish Mirza,20684-2336178-5,2470,ACTIVE
6273848315054084,Maryam Malik,53850-4418169-2,2734,ACTIVE
6273841787211699,Laiba Chaudhry,60701-1287469-2,572,ACTIVE
6273848512279134,Rabia Raza,98772-7396850-9,1873,ACTIVE
6273844716133204,Fatima Farooq,28364-2490855-7,45,ACTIVE
6273845148285081,Noor Rashid,71088-2298785-2,31,ACTIVE
6273849659716238,Hina Zafar,78579-7015908-4,3703,ACTIVE
6273841712428336,Umar Chaudhry,98281-9302968-5,2464,ACTIVE
6273842510052276,Bilal Farooq,83658-6089713-8,1711,ACTIVE
6273847118995722,Zainab Hussain,52682-9356096-7,3702,ACTIVE
6273847115179141,Kashif Iqbal,17680-5483256-5,4433,ACTIVE
6273844781040188,Kashif Aslam,71271-6197665-4,3850,ACTIVE
6273847477084397,Danish Rashid,26864-4966315-1,2724,ACTIVE
6273847024041382,Zainab Bashir,12538-7042266-6,4362,ACTIVE
6273848320848441,Hassan Zafar,94391-7931140-6,3433,ACTIVE
6273844934745463,Danish Qureshi,94493-2417506-4,2013,ACTIVE
6273843643535897,Shahid Sheikh,66604-8225604-2,4901,ACTIVE
6273847437169772,Ahmed Rashid,52556-6937811-6,1679,ACTIVE
6273842255748251,Tariq Sultan,95232-7395564-5,2789,ACTIVE
6273841812832010,Laiba Mirza,10126-9434749-4,2583,ACTIVE
6273846096651227,Fatima Farooq,30435-6887756-4,2882,ACTIVE
6273849196310568,Shahid Chaudhry,82703-8523663-2,2822,ACTIVE
6273844804878121,Mehwish Mirza,68329-3813647-8,3338,ACTIVE
6273844910979468,Owais Mirza,48688-7781971-1,3354,ACTIVE
6273848401893957,Laiba Ahmed,92794-1122431-6,358,ACTIVE
6273849030047992,Owais Nawaz,44628-9355323-9,2614,ACTIVE
6273847676663913,Tariq Sultan,54077-3362413-9,2859,ACTIVE
6273843006268798,Hassan Rashid,83954-5070476-4,4774,ACTIVE
6273844309795886,Nimra Javed,92680-6785387-5,3179,ACTIVE
6273846633120487,Adnan Farooq,66300-7538940-5,1717,ACTIVE
6273847240588037,Bilal Malik,14390-6993038-5,4360,ACTIVE
6273841516924042,Danish Siddiqui,78715-7292206-4,3138,ACTIVE
6273849046884672,Asad Malik,96852-8479632-6,2246,ACTIVE
6273845982878085,Noor Javed,79172-2059403-5,1481,ACTIVE
6273849550615689,Hassan Siddiqui,61528-3311310-2,418,ACTIVE
6273848233913110,Umar Khan,97003-3098501-1,4155,ACTIVE
6273849402738893,Hassan Mirza,15734-1625635-4,60,ACTIVE
6273844421897427,Junaid Mirza,60184-9232746-8,2659,ACTIVE
6273842377630234,Danish Qureshi,59333-9689036-2,3228,ACTIVE
6273849234166071,Kashif Zafar,83785-2386374-3,1036,ACTIVE
6273846868231073,Zainab Aslam,42458-3910554-1,1747,ACTIVE
6273843777819197,Noor Bashir,97595-3154542-6,173,ACTIVE
6273844969052067,Asad Aslam,58023-8036518-9,2008,ACTIVE
6273849255858975,Zainab Aslam,13105-4594443-8,2058,ACTIVE
6273848067426879,Hassan Sheikh,74678-5002460-3,1167,ACTIVE
6273845250953226,Adnan Rashid,78914-2661891-6,3225,ACTIVE
6273843225731601,Sadia Zafar,67162-6939034-9,4913,ACTIVE
6273846170558677,Tariq Raza,13980-5254963-3,3004,ACTIVE
6273841421444193,Noor Zafar,85305-2057053-3,2707,ACTIVE
6273841668514936,Junaid Sultan,99529-7789680-2,3517,ACTIVE
6273849479071674,Umar Bashir,80864-4299926-4,4956,BLOCKED
6273844604626585,Nimra Bashir,68423-1038922-9,746,ACTIVE
6273848433366438,Zainab Nawaz,58499-6844597-6,1604,ACTIVE
6273845963938202,Shahid Siddiqui,11009-7628256-8,2168,BLOCKED
6273843490101127,Tariq Rashid,80234-8376174-2,2092,ACTIVE
6273848782237576,Junaid Hussain,84911-4543864-6,2565,ACTIVE
6273843965159579,Nimra Sheikh,18058-8183515-2,1164,ACTIVE
6273845402525845,Iqra Raza,48606-4175331-5,2706,ACTIVE
6273845485257060,Hina Farooq,61757-7774921-6,232,ACTIVE
6273843562982855,Farhan Malik,12831-8830368-2,1458,ACTIVE
6273849914548619,Ahmed Hussain,41104-8085990-2,2468,ACTIVE
